Model,Run,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,TN,FP,FN,TP
LogisticRegression,46,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.832498720483306,0.4829264234425331,0.6215139442231076,0.8819210747749732,156,95,61,336
LogisticRegression,47,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325488976085582,0.4829264234425331,0.6215139442231076,0.8819534823004118,156,95,61,336
LogisticRegression,48,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325288267584573,0.4829264234425331,0.6215139442231076,0.8819950455441574,156,95,61,336
LogisticRegression,49,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325689684586591,0.4829264234425331,0.6215139442231076,0.8820097492340864,156,95,61,336
LogisticRegression,50,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8324987204833061,0.4829264234425331,0.6215139442231076,0.8819506505684155,156,95,61,336
RandomForest,1,0.8379629629629629,0.8395348837209302,0.9093198992443325,0.8730350665054414,0.9053258000742621,0.6541030337738294,0.7250996015936255,0.9375696197653405,182,69,36,361
RandomForest,2,0.8271604938271605,0.8290993071593533,0.9042821158690176,0.8650602409638555,0.9028972272120586,0.6305436262361488,0.7051792828685259,0.9339769379233384,177,74,38,359
RandomForest,3,0.8240740740740741,0.825287356321839,0.9042821158690176,0.8629807692307693,0.8988930926169378,0.6237757072482186,0.6972111553784861,0.9322688906794944,175,76,38,359
RandomForest,4,0.8287037037037037,0.8341121495327103,0.8992443324937027,0.8654545454545455,0.9024255622346885,0.6340806104026429,0.7171314741035857,0.9351462562981083,180,71,40,357
RandomForest,5,0.8395061728395061,0.839907192575406,0.9118387909319899,0.8743961352657005,0.9060784569530442,0.6574474414850419,0.7250996015936255,0.9381433463387241,182,69,35,362
RandomForest,6,0.8364197530864198,0.8407494145199064,0.9042821158690176,0.8713592233009708,0.9083564984394914,0.6508435958521177,0.7290836653386454,0.9397243128413761,183,68,38,359
RandomForest,7,0.8302469135802469,0.8376470588235294,0.8967254408060453,0.8661800486618005,0.9018836492819653,0.6376075129472041,0.7250996015936255,0.9344479402891208,182,69,41,356
RandomForest,8,0.8379629629629629,0.8395348837209302,0.9093198992443325,0.8730350665054414,0.9064899093801118,0.6541030337738294,0.7250996015936255,0.9368611296633598,182,69,36,361
RandomForest,9,0.8287037037037037,0.8325581395348837,0.9017632241813602,0.8657799274486094,0.9020442160827722,0.6339888843597966,0.7131474103585658,0.9342355271219788,179,72,39,358
RandomForest,10,0.8148148148148148,0.8243559718969555,0.8866498740554156,0.8543689320388349,0.9046935682960852,0.6040667582626321,0.701195219123506,0.9370644083871604,176,75,45,352
RandomForest,11,0.8348765432098766,0.8436018957345972,0.8967254408060453,0.8693528693528694,0.9062390237538511,0.6478258948357913,0.7370517928286853,0.9366149868462583,185,66,41,356
RandomForest,12,0.8256172839506173,0.8302325581395349,0.8992443324937027,0.8633615477629988,0.9059981735526408,0.6272841678884523,0.7091633466135459,0.937932869300905,178,73,40,357
RandomForest,13,0.8333333333333334,0.8432304038004751,0.8942065491183879,0.8679706601466992,0.9047136391461861,0.6445925293962651,0.7370517928286853,0.9369055787843417,185,66,42,355
RandomForest,14,0.8317901234567902,0.8333333333333334,0.906801007556675,0.8685162846803377,0.9060383152528426,0.6406471834890127,0.7131474103585658,0.9376640553042602,179,72,37,360
RandomForest,15,0.8317901234567902,0.839622641509434,0.8967254408060453,0.8672350791717418,0.9043222575692194,0.6410133212595236,0.7290836653386454,0.9367692489897359,183,68,41,356
RandomForest,16,0.8333333333333334,0.832183908045977,0.9118387909319899,0.8701923076923077,0.9033086796391261,0.6440072833179341,0.7091633466135459,0.9355058836706912,178,73,35,362
RandomForest,17,0.8348765432098766,0.8403755868544601,0.9017632241813602,0.8699878493317132,0.9081557899384829,0.6475522152161632,0.7290836653386454,0.9389852017180538,183,68,39,358
RandomForest,18,0.8287037037037037,0.8356807511737089,0.8967254408060453,0.8651275820170109,0.9057071462261783,0.6342018975215282,0.7211155378486056,0.9382291144880417,181,70,41,356
RandomForest,19,0.8302469135802469,0.8314087759815243,0.906801007556675,0.8674698795180723,0.9019137555571166,0.6372715291160788,0.7091633466135459,0.9344329321105624,178,73,37,360
RandomForest,20,0.8240740740740741,0.8298368298368298,0.8967254408060453,0.8619854721549637,0.903539494415286,0.6239852533606146,0.7091633466135459,0.9369460384486104,178,73,41,356
RandomForest,21,0.8287037037037037,0.8341121495327103,0.8992443324937027,0.8654545454545455,0.9073629913594989,0.6340806104026429,0.7171314741035857,0.9381016880495938,180,71,40,357
RandomForest,22,0.8348765432098766,0.8436018957345972,0.8967254408060453,0.8693528693528694,0.903960982267404,0.6478258948357913,0.7370517928286853,0.935094451368182,185,66,41,356
RandomForest,23,0.8441358024691358,0.8490566037735849,0.906801007556675,0.876979293544458,0.9029674751874116,0.6676571078006507,0.7450199203187251,0.9358934078980551,187,64,37,360
RandomForest,24,0.8348765432098766,0.8387850467289719,0.9042821158690176,0.8703030303030304,0.9036197778156894,0.6474601035820929,0.7250996015936255,0.9353062838895861,182,69,38,359
RandomForest,25,0.8287037037037037,0.8356807511737089,0.8967254408060453,0.8651275820170109,0.9048440996718414,0.6342018975215282,0.7211155378486056,0.9360119973185463,181,70,41,356
RandomForest,26,0.8364197530864198,0.8407494145199064,0.9042821158690176,0.8713592233009708,0.9052154103987075,0.6508435958521177,0.7290836653386454,0.9366959335829184,183,68,38,359
RandomForest,27,0.8333333333333334,0.8368298368298368,0.9042821158690176,0.8692493946731235,0.904432647244774,0.6440768033818658,0.7211155378486056,0.9361590940122593,181,70,38,359
RandomForest,28,0.8179012345679012,0.8297872340425532,0.8841309823677582,0.8560975609756097,0.9011711341033848,0.6111495203910039,0.7131474103585658,0.934850533118326,179,72,46,351
RandomForest,29,0.8302469135802469,0.8376470588235294,0.8967254408060453,0.8661800486618005,0.9031982899635713,0.6376075129472041,0.7250996015936255,0.9358267704388803,182,69,41,356
RandomForest,30,0.8240740740740741,0.8313817330210773,0.8942065491183879,0.8616504854368932,0.9049745601974971,0.6241139743724117,0.7131474103585658,0.9372411659327319,179,72,42,355
RandomForest,31,0.8302469135802469,0.8376470588235294,0.8967254408060453,0.8661800486618005,0.9058175359017331,0.6376075129472041,0.7250996015936255,0.9362672920988739,182,69,41,356
RandomForest,32,0.8225308641975309,0.8294392523364486,0.8942065491183879,0.8606060606060606,0.9036799903659919,0.6207011172231928,0.7091633466135459,0.9365110382716443,178,73,42,355
