Model,Run,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,TN,FP,FN,TP
RandomForest,36,0.8591549295774648,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.9281238309016088,0.7011784511784511,0.8148148148148148,0.9444208942193826,66,15,15,117
RandomForest,37,0.8497652582159625,0.8846153846153846,0.8712121212121212,0.8778625954198473,0.9313037785260008,0.6829044155341443,0.8148148148148148,0.955586033005261,66,15,17,115
RandomForest,38,0.8497652582159625,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.932052001496446,0.6812570145903479,0.8024691358024691,0.9516197474958983,65,16,16,116
RandomForest,39,0.8544600938967136,0.8854961832061069,0.8787878787878788,0.8821292775665399,0.9359801720912833,0.6919865799997807,0.8148148148148148,0.9567679062318994,66,15,16,116
RandomForest,40,0.8403755868544601,0.8769230769230769,0.8636363636363636,0.8702290076335878,0.9313037785260008,0.6630736533652591,0.8024691358024691,0.9491969506117207,65,16,18,114
RandomForest,41,0.8497652582159625,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.9304620276842499,0.6812570145903479,0.8024691358024691,0.9505545148664543,65,16,16,116
RandomForest,42,0.8591549295774648,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.9328002244668911,0.7011784511784511,0.8148148148148148,0.9503498682292599,66,15,15,117
RandomForest,43,0.8591549295774648,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.9304620276842499,0.7011784511784511,0.8148148148148148,0.9525291491890324,66,15,15,117
RandomForest,44,0.8450704225352113,0.8778625954198473,0.8712121212121212,0.8745247148288974,0.9304620276842499,0.6721115609140265,0.8024691358024691,0.9504562359941702,65,16,17,115
RandomForest,45,0.8497652582159625,0.8846153846153846,0.8712121212121212,0.8778625954198473,0.9287785260007483,0.6829044155341443,0.8148148148148148,0.9464123194435594,66,15,17,115
RandomForest,46,0.8544600938967136,0.8796992481203008,0.8863636363636364,0.8830188679245283,0.9326131687242798,0.6905139585656475,0.8024691358024691,0.954079564174126,65,16,15,117
RandomForest,47,0.8544600938967136,0.8914728682170543,0.8712121212121212,0.8812260536398467,0.9379442573887018,0.693716745700208,0.8271604938271605,0.9594357687159555,67,14,17,115
